embedding_id,source_prefix,audio_path,resolved_audio_path,resolution_method,n_examples
0,timit_dataset,timit_dataset/train/DR1/MRWS0/SI1732.WAV,timit_root/data/TRAIN/DR1/MRWS0/SI1732.WAV,fallback_local_path,3
1,timit_dataset,timit_dataset/train/DR1/MRWS0/SX382.WAV,timit_root/data/TRAIN/DR1/MRWS0/SX382.WAV,fallback_local_path,3
2,timit_dataset,timit_dataset/train/DR1/MRWS0/SI1102.WAV,timit_root/data/TRAIN/DR1/MRWS0/SI1102.WAV,fallback_local_path,3
3,timit_dataset,timit_dataset/train/DR1/MRWS0/SX202.WAV,timit_root/data/TRAIN/DR1/MRWS0/SX202.WAV,fallback_local_path,3
4,timit_dataset,timit_dataset/train/DR1/MRWS0/SX112.WAV,timit_root/data/TRAIN/DR1/MRWS0/SX112.WAV,fallback_local_path,3
5,timit_dataset,timit_dataset/train/DR1/MRWS0/SI472.WAV,timit_root/data/TRAIN/DR1/MRWS0/SI472.WAV,fallback_local_path,3
6,timit_dataset,timit_dataset/train/DR1/MRWS0/SX22.WAV,timit_root/data/TRAIN/DR1/MRWS0/SX22.WAV,fallback_local_path,3
7,timit_dataset,timit_dataset/train/DR1/MRWS0/SX292.WAV,timit_root/data/TRAIN/DR1/MRWS0/SX292.WAV,fallback_local_path,3
8,timit_dataset,timit_dataset/train/DR1/MRWS0/SA2.WAV,timit_root/data/TRAIN/DR1/MRWS0/SA2.WAV,fallback_local_path,3
9,timit_dataset,timit_dataset/train/DR1/MRWS0/SA1.WAV,timit_root/data/TRAIN/DR1/MRWS0/SA1.WAV,fallback_local_path,3
10,timit_dataset,timit_dataset/train/DR1/MTPF0/SX155.WAV,timit_root/data/TRAIN/DR1/MTPF0/SX155.WAV,fallback_local_path,3
11,timit_dataset,timit_dataset/train/DR1/MTPF0/SI1865.WAV,timit_root/data/TRAIN/DR1/MTPF0/SI1865.WAV,fallback_local_path,3
12,timit_dataset,timit_dataset/train/DR1/MTPF0/SX65.WAV,timit_root/data/TRAIN/DR1/MTPF0/SX65.WAV,fallback_local_path,3
13,timit_dataset,timit_dataset/train/DR1/MTPF0/SI1235.WAV,timit_root/data/TRAIN/DR1/MTPF0/SI1235.WAV,fallback_local_path,3
14,timit_dataset,timit_dataset/train/DR1/MTPF0/SX245.WAV,timit_root/data/TRAIN/DR1/MTPF0/SX245.WAV,fallback_local_path,3
15,timit_dataset,timit_dataset/train/DR1/MTPF0/SI605.WAV,timit_root/data/TRAIN/DR1/MTPF0/SI605.WAV,fallback_local_path,3
16,timit_dataset,timit_dataset/train/DR1/MTPF0/SX425.WAV,timit_root/data/TRAIN/DR1/MTPF0/SX425.WAV,fallback_local_path,3
