row_index,audio_path,speaker_id,split,gender,age,ethnicity,embedding_family,x,y
0,ears_dataset_processed/val/p101/sentences_17_regular_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,45.668186,-18.793642
1,ears_dataset_processed/val/p101/freeform_speech_02_1120000_1280000.wav,p101,val,male,46-55,black or african american,ecapa,-0.19010006,-26.345884
2,ears_dataset_processed/val/p101/freeform_speech_02_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,59.580486,-1.0313073
3,ears_dataset_processed/val/p101/rainbow_02_fast_0_154821.wav,p101,val,male,46-55,black or african american,ecapa,-9.723498,-22.928839
4,ears_dataset_processed/val/p101/rainbow_07_highpitch_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,-20.227318,-6.4276648
5,ears_dataset_processed/val/p101/freeform_speech_04_800000_960000.wav,p101,val,male,46-55,black or african american,ecapa,-7.9519987,-27.007694
6,ears_dataset_processed/val/p101/freeform_speech_06_2080000_2240000.wav,p101,val,male,46-55,black or african american,ecapa,69.46817,-12.558558
7,ears_dataset_processed/val/p101/freeform_speech_01_480000_640000.wav,p101,val,male,46-55,black or african american,ecapa,66.38276,-12.997391
8,ears_dataset_processed/val/p101/freeform_speech_02_320000_480000.wav,p101,val,male,46-55,black or african american,ecapa,59.56189,-1.1965165
9,ears_dataset_processed/val/p101/sentences_02_loud_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,42.45363,-29.945992
10,ears_dataset_processed/val/p101/freeform_speech_02_480000_640000.wav,p101,val,male,46-55,black or african american,ecapa,-16.371576,-25.667252
11,ears_dataset_processed/val/p101/freeform_speech_04_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,-3.6200047,-25.710596
12,ears_dataset_processed/val/p101/rainbow_05_fast_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,58.895306,1.6853065
13,ears_dataset_processed/val/p101/emo_pride_freeform_160000_320000.wav,p101,val,male,46-55,black or african american,ecapa,39.29444,-2.067218
14,ears_dataset_processed/val/p101/freeform_speech_06_1280000_1440000.wav,p101,val,male,46-55,black or african american,ecapa,60.019222,-1.2665672
15,ears_dataset_processed/val/p101/freeform_speech_04_2560000_2720000.wav,p101,val,male,46-55,black or african american,ecapa,32.02724,-31.84883
16,ears_dataset_processed/val/p101/freeform_speech_06_960000_1120000.wav,p101,val,male,46-55,black or african american,ecapa,59.96658,-0.9428826
17,ears_dataset_processed/val/p101/freeform_speech_05_1760000_1920000.wav,p101,val,male,46-55,black or african american,ecapa,-4.164547,-24.820782
18,ears_dataset_processed/val/p101/sentences_03_whisper_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,-0.5813567,-44.72064
19,ears_dataset_processed/val/p101/freeform_speech_04_960000_1120000.wav,p101,val,male,46-55,black or african american,ecapa,69.79803,-12.553334
20,ears_dataset_processed/val/p101/emo_amusement_sentences_0_140360.wav,p101,val,male,46-55,black or african american,ecapa,59.176712,2.386913
21,ears_dataset_processed/val/p101/rainbow_06_slow_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,31.00984,-48.082577
22,ears_dataset_processed/val/p101/freeform_speech_03_1440000_1600000.wav,p101,val,male,46-55,black or african american,ecapa,71.14339,-13.055279
23,ears_dataset_processed/val/p101/rainbow_02_regular_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,-16.406015,-25.748878
24,ears_dataset_processed/val/p101/emo_cuteness_freeform_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,23.04957,-31.854347
