row_index,audio_path,speaker_id,split,gender,age,ethnicity,embedding_family,pdaf_mode,x,y
0,ears_dataset_processed/val/p101/sentences_17_regular_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-31.50185,-29.02359
1,ears_dataset_processed/val/p101/freeform_speech_02_1120000_1280000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-39.860523,-35.48504
2,ears_dataset_processed/val/p101/freeform_speech_02_640000_800000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-39.86609,-35.422226
3,ears_dataset_processed/val/p101/rainbow_02_fast_0_154821.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,7.8571606,-54.138454
4,ears_dataset_processed/val/p101/rainbow_07_highpitch_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-25.31905,9.839552
5,ears_dataset_processed/val/p101/freeform_speech_04_800000_960000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-44.801655,-10.250565
6,ears_dataset_processed/val/p101/freeform_speech_06_2080000_2240000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,26.289558,-60.471855
7,ears_dataset_processed/val/p101/freeform_speech_01_480000_640000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-18.412884,-50.62268
8,ears_dataset_processed/val/p101/freeform_speech_02_320000_480000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-10.850465,-27.105536
9,ears_dataset_processed/val/p101/sentences_02_loud_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-27.148413,-48.165043
10,ears_dataset_processed/val/p101/freeform_speech_02_480000_640000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-39.546673,-34.269665
11,ears_dataset_processed/val/p101/freeform_speech_04_640000_800000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-37.983505,-14.35256
12,ears_dataset_processed/val/p101/rainbow_05_fast_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,7.9264927,-54.8346
13,ears_dataset_processed/val/p101/emo_pride_freeform_160000_320000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-27.406864,-15.710713
14,ears_dataset_processed/val/p101/freeform_speech_06_1280000_1440000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,6.869876,-53.409748
15,ears_dataset_processed/val/p101/freeform_speech_04_2560000_2720000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-24.401318,-36.252644
16,ears_dataset_processed/val/p101/freeform_speech_06_960000_1120000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,14.498321,-34.51626
17,ears_dataset_processed/val/p101/freeform_speech_05_1760000_1920000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-30.219759,-34.49445
18,ears_dataset_processed/val/p101/sentences_03_whisper_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-36.825836,-12.14261
19,ears_dataset_processed/val/p101/freeform_speech_04_960000_1120000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-30.563046,-36.264626
20,ears_dataset_processed/val/p101/emo_amusement_sentences_0_140360.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-33.570744,-45.59547
21,ears_dataset_processed/val/p101/rainbow_06_slow_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-45.46613,8.001387
22,ears_dataset_processed/val/p101/freeform_speech_03_1440000_1600000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,18.49929,-53.40649
23,ears_dataset_processed/val/p101/rainbow_02_regular_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-12.880598,-52.22911
24,ears_dataset_processed/val/p101/emo_cuteness_freeform_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,16.793228,-55.350834
25,ears_dataset_processed/val/p101/freeform_speech_02_1440000_1600000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-36.288563,-12.931913
26,ears_dataset_processed/val/p101/emo_extasy_sentences_0_119385.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-36.608017,-25.451393
27,ears_dataset_processed/val/p101/rainbow_03_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-43.166927,-16.130756
28,ears_dataset_processed/val/p101/emo_confusion_freeform_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,8.669674,-54.423714
29,ears_dataset_processed/val/p101/emo_disappointment_freeform_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-33.304203,-21.719376
30,ears_dataset_processed/val/p101/rainbow_01_slow_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,6.7217636,-53.15164
31,ears_dataset_processed/val/p101/emo_fear_sentences_0_132320.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-37.34726,-24.296345
32,ears_dataset_processed/val/p101/freeform_speech_06_640000_800000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-34.25738,-45.61635
33,ears_dataset_processed/val/p101/freeform_speech_04_1440000_1600000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-30.422058,-35.982414
34,ears_dataset_processed/val/p101/freeform_speech_01_1600000_1760000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,8.915814,-54.32737
35,ears_dataset_processed/val/p101/sentences_15_regular_0_142603.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,8.576525,-55.49648
36,ears_dataset_processed/val/p101/emo_anger_sentences_0_143849.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-36.361828,-21.242657
37,ears_dataset_processed/val/p101/emo_distress_sentences_0_117009.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-11.340059,-7.1999836
38,ears_dataset_processed/val/p101/freeform_speech_04_1280000_1440000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-29.628458,-34.561306
39,ears_dataset_processed/val/p101/emo_pride_sentences_0_153022.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-26.13243,-34.539074
40,ears_dataset_processed/val/p101/sentences_23_regular_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,8.625512,-55.53254
41,ears_dataset_processed/val/p101/sentences_01_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,7.3529897,-54.845596
42,ears_dataset_processed/val/p101/freeform_speech_03_800000_960000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,26.319134,-60.46744
43,ears_dataset_processed/val/p101/sentences_05_loud_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-35.246647,-46.588783
44,ears_dataset_processed/val/p101/sentences_01_whisper_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-34.946346,-18.971405
45,ears_dataset_processed/val/p101/emo_cuteness_sentences_0_111269.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-27.547688,-6.102757
