row_index,audio_path,speaker_id,split,gender,age,ethnicity,embedding_family,x,y
0,ears_dataset_processed/val/p101/sentences_17_regular_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,49.278572,-55.921455
1,ears_dataset_processed/val/p101/freeform_speech_02_1120000_1280000.wav,p101,val,male,46-55,black or african american,ecapa,44.72365,-55.41517
2,ears_dataset_processed/val/p101/freeform_speech_02_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,45.4526,-56.202457
3,ears_dataset_processed/val/p101/rainbow_02_fast_0_154821.wav,p101,val,male,46-55,black or african american,ecapa,48.25984,-55.521244
4,ears_dataset_processed/val/p101/rainbow_07_highpitch_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,-6.1245775,-34.66133
5,ears_dataset_processed/val/p101/freeform_speech_04_800000_960000.wav,p101,val,male,46-55,black or african american,ecapa,8.614373,-25.92579
6,ears_dataset_processed/val/p101/freeform_speech_06_2080000_2240000.wav,p101,val,male,46-55,black or african american,ecapa,47.26724,-55.99832
7,ears_dataset_processed/val/p101/freeform_speech_01_480000_640000.wav,p101,val,male,46-55,black or african american,ecapa,48.7654,-56.447277
8,ears_dataset_processed/val/p101/freeform_speech_02_320000_480000.wav,p101,val,male,46-55,black or african american,ecapa,46.932343,-56.529102
9,ears_dataset_processed/val/p101/sentences_02_loud_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,50.03906,-55.72748
10,ears_dataset_processed/val/p101/freeform_speech_02_480000_640000.wav,p101,val,male,46-55,black or african american,ecapa,45.42099,-54.839237
11,ears_dataset_processed/val/p101/freeform_speech_04_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,47.588505,-48.378536
12,ears_dataset_processed/val/p101/rainbow_05_fast_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,48.083496,-54.73681
13,ears_dataset_processed/val/p101/emo_pride_freeform_160000_320000.wav,p101,val,male,46-55,black or african american,ecapa,46.625645,-54.859238
14,ears_dataset_processed/val/p101/freeform_speech_06_1280000_1440000.wav,p101,val,male,46-55,black or african american,ecapa,45.486168,-55.254368
15,ears_dataset_processed/val/p101/freeform_speech_04_2560000_2720000.wav,p101,val,male,46-55,black or african american,ecapa,46.145157,-54.86096
16,ears_dataset_processed/val/p101/freeform_speech_06_960000_1120000.wav,p101,val,male,46-55,black or african american,ecapa,45.604435,-55.226078
17,ears_dataset_processed/val/p101/freeform_speech_05_1760000_1920000.wav,p101,val,male,46-55,black or african american,ecapa,45.23625,-54.01211
18,ears_dataset_processed/val/p101/sentences_03_whisper_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,12.538822,-29.091118
19,ears_dataset_processed/val/p101/freeform_speech_04_960000_1120000.wav,p101,val,male,46-55,black or african american,ecapa,46.394287,-57.20092
20,ears_dataset_processed/val/p101/emo_amusement_sentences_0_140360.wav,p101,val,male,46-55,black or african american,ecapa,48.88963,-54.73552
21,ears_dataset_processed/val/p101/rainbow_06_slow_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,38.249184,-54.19949
22,ears_dataset_processed/val/p101/freeform_speech_03_1440000_1600000.wav,p101,val,male,46-55,black or african american,ecapa,46.775265,-57.178814
23,ears_dataset_processed/val/p101/rainbow_02_regular_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,44.971874,-52.823616
24,ears_dataset_processed/val/p101/emo_cuteness_freeform_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,48.033974,-53.17925
25,ears_dataset_processed/val/p101/freeform_speech_02_1440000_1600000.wav,p101,val,male,46-55,black or african american,ecapa,44.864788,-54.110138
26,ears_dataset_processed/val/p101/emo_extasy_sentences_0_119385.wav,p101,val,male,46-55,black or african american,ecapa,45.997826,-53.691105
27,ears_dataset_processed/val/p101/rainbow_03_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,44.300312,-55.080303
28,ears_dataset_processed/val/p101/emo_confusion_freeform_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,48.05378,-54.711742
29,ears_dataset_processed/val/p101/emo_disappointment_freeform_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,43.104954,-53.714695
30,ears_dataset_processed/val/p101/rainbow_01_slow_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,48.077904,-55.71
31,ears_dataset_processed/val/p101/emo_fear_sentences_0_132320.wav,p101,val,male,46-55,black or african american,ecapa,46.1011,-52.345165
32,ears_dataset_processed/val/p101/freeform_speech_06_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,46.84978,-55.558376
33,ears_dataset_processed/val/p101/freeform_speech_04_1440000_1600000.wav,p101,val,male,46-55,black or african american,ecapa,47.167995,-49.02251
34,ears_dataset_processed/val/p101/freeform_speech_01_1600000_1760000.wav,p101,val,male,46-55,black or african american,ecapa,46.93561,-56.494236
35,ears_dataset_processed/val/p101/sentences_15_regular_0_142603.wav,p101,val,male,46-55,black or african american,ecapa,50.031776,-55.282703
36,ears_dataset_processed/val/p101/emo_anger_sentences_0_143849.wav,p101,val,male,46-55,black or african american,ecapa,46.806576,-53.251865
37,ears_dataset_processed/val/p101/emo_distress_sentences_0_117009.wav,p101,val,male,46-55,black or african american,ecapa,46.734833,-55.286343
38,ears_dataset_processed/val/p101/freeform_speech_04_1280000_1440000.wav,p101,val,male,46-55,black or african american,ecapa,46.55955,-56.40476
39,ears_dataset_processed/val/p101/emo_pride_sentences_0_153022.wav,p101,val,male,46-55,black or african american,ecapa,46.65767,-53.255966
40,ears_dataset_processed/val/p101/sentences_23_regular_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,50.122772,-55.63287
41,ears_dataset_processed/val/p101/sentences_01_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,48.66003,-54.919197
42,ears_dataset_processed/val/p101/freeform_speech_03_800000_960000.wav,p101,val,male,46-55,black or african american,ecapa,47.133434,-57.14409
43,ears_dataset_processed/val/p101/sentences_05_loud_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,46.545555,-55.85219
44,ears_dataset_processed/val/p101/sentences_01_whisper_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,14.911752,-18.188135
45,ears_dataset_processed/val/p101/emo_cuteness_sentences_0_111269.wav,p101,val,male,46-55,black or african american,ecapa,-5.9972343,-40.67362
46,ears_dataset_processed/val/p101/rainbow_07_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,48.236744,-54.70046
47,ears_dataset_processed/val/p101/freeform_speech_05_2560000_2720000.wav,p101,val,male,46-55,black or african american,ecapa,45.32117,-54.237843
48,ears_dataset_processed/val/p101/emo_distress_freeform_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,42.84854,-53.63966
49,ears_dataset_processed/val/p101/freeform_speech_03_1920000_2080000.wav,p101,val,male,46-55,black or african american,ecapa,46.228317,-56.157314
50,ears_dataset_processed/val/p101/freeform_speech_01_1440000_1600000.wav,p101,val,male,46-55,black or african american,ecapa,47.210224,-57.57938
51,ears_dataset_processed/val/p101/freeform_speech_01_2560000_2720000.wav,p101,val,male,46-55,black or african american,ecapa,47.955803,-55.908764
52,ears_dataset_processed/val/p101/freeform_speech_03_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,46.396267,-57.26305
53,ears_dataset_processed/val/p066/freeform_speech_04_2720000_2880000.wav,p066,val,female,46-55,white or caucasian,ecapa,-59.79647,-38.805798
54,ears_dataset_processed/val/p066/sentences_17_regular_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa,-61.03587,-39.419163
55,ears_dataset_processed/val/p066/freeform_speech_02_640000_800000.wav,p066,val,female,46-55,white or caucasian,ecapa,-61.281193,-38.23254
56,ears_dataset_processed/val/p066/freeform_speech_06_1440000_1600000.wav,p066,val,female,46-55,white or caucasian,ecapa,-61.305523,-39.551453
57,ears_dataset_processed/val/p066/freeform_speech_05_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa,-61.69568,-37.82903
58,ears_dataset_processed/val/p066/freeform_speech_06_2400000_2560000.wav,p066,val,female,46-55,white or caucasian,ecapa,-59.07544,-37.995575
59,ears_dataset_processed/val/p066/rainbow_08_highpitch_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa,-54.034653,-33.19913
60,ears_dataset_processed/val/p066/freeform_speech_02_1760000_1920000.wav,p066,val,female,46-55,white or caucasian,ecapa,-61.537346,-38.976234
