row_index,audio_path,speaker_id,split,gender,age,ethnicity,embedding_family,x,y
0,ears_dataset_processed/val/p101/sentences_17_regular_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,5.874731,1.2251705
1,ears_dataset_processed/val/p101/freeform_speech_02_1120000_1280000.wav,p101,val,male,46-55,black or african american,ecapa,6.158644,-2.061425
2,ears_dataset_processed/val/p101/freeform_speech_02_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,7.0392,0.002338018
3,ears_dataset_processed/val/p101/rainbow_02_fast_0_154821.wav,p101,val,male,46-55,black or african american,ecapa,6.0591354,1.0059305
4,ears_dataset_processed/val/p101/rainbow_07_highpitch_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,0.1614401,-4.4149776
5,ears_dataset_processed/val/p101/freeform_speech_04_800000_960000.wav,p101,val,male,46-55,black or african american,ecapa,2.5081081,-4.2303033
6,ears_dataset_processed/val/p101/freeform_speech_06_2080000_2240000.wav,p101,val,male,46-55,black or african american,ecapa,5.205716,-1.8551568
7,ears_dataset_processed/val/p101/freeform_speech_01_480000_640000.wav,p101,val,male,46-55,black or african american,ecapa,6.430726,0.28789482
8,ears_dataset_processed/val/p101/freeform_speech_02_320000_480000.wav,p101,val,male,46-55,black or african american,ecapa,5.1796107,-1.0178404
9,ears_dataset_processed/val/p101/sentences_02_loud_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,7.1461825,4.6009083
10,ears_dataset_processed/val/p101/freeform_speech_02_480000_640000.wav,p101,val,male,46-55,black or african american,ecapa,3.0044909,-3.7970374
11,ears_dataset_processed/val/p101/freeform_speech_04_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,4.1862698,-3.4075997
12,ears_dataset_processed/val/p101/rainbow_05_fast_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,5.3539743,0.94316244
13,ears_dataset_processed/val/p101/emo_pride_freeform_160000_320000.wav,p101,val,male,46-55,black or african american,ecapa,4.1431766,-2.7052639
14,ears_dataset_processed/val/p101/freeform_speech_06_1280000_1440000.wav,p101,val,male,46-55,black or african american,ecapa,5.5209336,-2.4214933
15,ears_dataset_processed/val/p101/freeform_speech_04_2560000_2720000.wav,p101,val,male,46-55,black or african american,ecapa,4.1718097,-1.3901271
16,ears_dataset_processed/val/p101/freeform_speech_06_960000_1120000.wav,p101,val,male,46-55,black or african american,ecapa,6.593775,-1.3601376
17,ears_dataset_processed/val/p101/freeform_speech_05_1760000_1920000.wav,p101,val,male,46-55,black or african american,ecapa,5.0237575,-1.7968516
18,ears_dataset_processed/val/p101/sentences_03_whisper_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,2.2821586,-2.8176482
19,ears_dataset_processed/val/p101/freeform_speech_04_960000_1120000.wav,p101,val,male,46-55,black or african american,ecapa,4.78874,-3.405417
20,ears_dataset_processed/val/p101/emo_amusement_sentences_0_140360.wav,p101,val,male,46-55,black or african american,ecapa,6.5547595,1.1654757
21,ears_dataset_processed/val/p101/rainbow_06_slow_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,4.6919703,-2.4511783
22,ears_dataset_processed/val/p101/freeform_speech_03_1440000_1600000.wav,p101,val,male,46-55,black or african american,ecapa,3.7442255,-3.034802
23,ears_dataset_processed/val/p101/rainbow_02_regular_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,6.720008,1.0676179
24,ears_dataset_processed/val/p101/emo_cuteness_freeform_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,6.8860927,0.28080824
25,ears_dataset_processed/val/p101/freeform_speech_02_1440000_1600000.wav,p101,val,male,46-55,black or african american,ecapa,3.906321,-1.3603599
26,ears_dataset_processed/val/p101/emo_extasy_sentences_0_119385.wav,p101,val,male,46-55,black or african american,ecapa,5.1492543,-1.4357371
27,ears_dataset_processed/val/p101/rainbow_03_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,5.8526187,-1.6871023
28,ears_dataset_processed/val/p101/emo_confusion_freeform_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,4.738168,-1.0024892
29,ears_dataset_processed/val/p101/emo_disappointment_freeform_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,6.7591863,-1.1806334
30,ears_dataset_processed/val/p101/rainbow_01_slow_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,5.77752,0.6110874
31,ears_dataset_processed/val/p101/emo_fear_sentences_0_132320.wav,p101,val,male,46-55,black or african american,ecapa,6.1998353,-0.3006355
32,ears_dataset_processed/val/p101/freeform_speech_06_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,4.870313,-1.8439165
33,ears_dataset_processed/val/p101/freeform_speech_04_1440000_1600000.wav,p101,val,male,46-55,black or african american,ecapa,4.256661,-3.3961902
34,ears_dataset_processed/val/p101/freeform_speech_01_1600000_1760000.wav,p101,val,male,46-55,black or african american,ecapa,4.413029,-1.9207008
35,ears_dataset_processed/val/p101/sentences_15_regular_0_142603.wav,p101,val,male,46-55,black or african american,ecapa,6.672094,2.7304296
36,ears_dataset_processed/val/p101/emo_anger_sentences_0_143849.wav,p101,val,male,46-55,black or african american,ecapa,7.0044208,0.4776755
37,ears_dataset_processed/val/p101/emo_distress_sentences_0_117009.wav,p101,val,male,46-55,black or african american,ecapa,3.3261847,-2.5726874
38,ears_dataset_processed/val/p101/freeform_speech_04_1280000_1440000.wav,p101,val,male,46-55,black or african american,ecapa,6.121981,-1.2762347
39,ears_dataset_processed/val/p101/emo_pride_sentences_0_153022.wav,p101,val,male,46-55,black or african american,ecapa,5.855703,1.1546787
40,ears_dataset_processed/val/p101/sentences_23_regular_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,7.6007423,3.3442733
41,ears_dataset_processed/val/p101/sentences_01_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,6.2178097,1.5870441
42,ears_dataset_processed/val/p101/freeform_speech_03_800000_960000.wav,p101,val,male,46-55,black or african american,ecapa,4.938798,-2.0172195
43,ears_dataset_processed/val/p101/sentences_05_loud_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,5.967325,0.47814938
44,ears_dataset_processed/val/p101/sentences_01_whisper_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,3.285379,-0.2984852
45,ears_dataset_processed/val/p101/emo_cuteness_sentences_0_111269.wav,p101,val,male,46-55,black or african american,ecapa,0.8516159,-7.432829
46,ears_dataset_processed/val/p101/rainbow_07_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,4.9665565,-0.3235974
47,ears_dataset_processed/val/p101/freeform_speech_05_2560000_2720000.wav,p101,val,male,46-55,black or african american,ecapa,3.9986339,-1.1168888
48,ears_dataset_processed/val/p101/emo_distress_freeform_0_160000.wav,p101,val,male,46-55,black or african american,ecapa,5.7749577,-2.4394252
49,ears_dataset_processed/val/p101/freeform_speech_03_1920000_2080000.wav,p101,val,male,46-55,black or african american,ecapa,4.590384,-2.3154516
50,ears_dataset_processed/val/p101/freeform_speech_01_1440000_1600000.wav,p101,val,male,46-55,black or african american,ecapa,4.8032265,-1.9846683
51,ears_dataset_processed/val/p101/freeform_speech_01_2560000_2720000.wav,p101,val,male,46-55,black or african american,ecapa,5.237769,0.4011033
52,ears_dataset_processed/val/p101/freeform_speech_03_640000_800000.wav,p101,val,male,46-55,black or african american,ecapa,3.9745715,-5.5715747
53,ears_dataset_processed/val/p066/freeform_speech_04_2720000_2880000.wav,p066,val,female,46-55,white or caucasian,ecapa,-3.232401,1.6826799
54,ears_dataset_processed/val/p066/sentences_17_regular_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa,-6.004205,2.369159
55,ears_dataset_processed/val/p066/freeform_speech_02_640000_800000.wav,p066,val,female,46-55,white or caucasian,ecapa,-4.522093,0.6669824
56,ears_dataset_processed/val/p066/freeform_speech_06_1440000_1600000.wav,p066,val,female,46-55,white or caucasian,ecapa,-3.9093547,1.9576142
57,ears_dataset_processed/val/p066/freeform_speech_05_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa,-3.4982297,-0.0864407
58,ears_dataset_processed/val/p066/freeform_speech_06_2400000_2560000.wav,p066,val,female,46-55,white or caucasian,ecapa,-3.5889077,1.1998366
59,ears_dataset_processed/val/p066/rainbow_08_highpitch_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa,-5.387177,-3.3018587
60,ears_dataset_processed/val/p066/freeform_speech_02_1760000_1920000.wav,p066,val,female,46-55,white or caucasian,ecapa,-3.4980948,1.2761015
61,ears_dataset_processed/val/p066/freeform_speech_02_480000_640000.wav,p066,val,female,46-55,white or caucasian,ecapa,-3.5821495,1.2105765
62,ears_dataset_processed/val/p066/rainbow_08_slow_0_160000.wav,p066,val,female,46-55,white or caucasian,ecapa,-3.7948842,0.6798857
