row_index,audio_path,speaker_id,split,gender,age,ethnicity,embedding_family,pdaf_mode,x,y
0,ears_dataset_processed/val/p101/sentences_17_regular_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-6.2393074,-6.0689974
1,ears_dataset_processed/val/p101/freeform_speech_02_1120000_1280000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-7.2571297,-8.151661
2,ears_dataset_processed/val/p101/freeform_speech_02_640000_800000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-17.300827,-12.388118
3,ears_dataset_processed/val/p101/rainbow_02_fast_0_154821.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-0.17603256,-17.852894
4,ears_dataset_processed/val/p101/rainbow_07_highpitch_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-7.141421,1.8072695
5,ears_dataset_processed/val/p101/freeform_speech_04_800000_960000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-4.626298,-0.036593836
6,ears_dataset_processed/val/p101/freeform_speech_06_2080000_2240000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,6.338195,-13.123897
7,ears_dataset_processed/val/p101/freeform_speech_01_480000_640000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-1.8922309,-13.616033
8,ears_dataset_processed/val/p101/freeform_speech_02_320000_480000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,3.8861587,-13.922478
9,ears_dataset_processed/val/p101/sentences_02_loud_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-6.153735,-12.176139
10,ears_dataset_processed/val/p101/freeform_speech_02_480000_640000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-9.91742,-6.230478
11,ears_dataset_processed/val/p101/freeform_speech_04_640000_800000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-8.763052,-2.3011785
12,ears_dataset_processed/val/p101/rainbow_05_fast_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,4.331451,-14.880604
13,ears_dataset_processed/val/p101/emo_pride_freeform_160000_320000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-8.253945,0.27165565
14,ears_dataset_processed/val/p101/freeform_speech_06_1280000_1440000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,1.7329726,-11.608208
15,ears_dataset_processed/val/p101/freeform_speech_04_2560000_2720000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-1.6732637,-11.720746
16,ears_dataset_processed/val/p101/freeform_speech_06_960000_1120000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,2.7193632,-9.058917
17,ears_dataset_processed/val/p101/freeform_speech_05_1760000_1920000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-0.22632065,-12.883748
18,ears_dataset_processed/val/p101/sentences_03_whisper_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-17.601475,-2.2594175
19,ears_dataset_processed/val/p101/freeform_speech_04_960000_1120000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-1.7240618,-15.2419
20,ears_dataset_processed/val/p101/emo_amusement_sentences_0_140360.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-12.508424,-7.287486
21,ears_dataset_processed/val/p101/rainbow_06_slow_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-14.41725,0.6929295
22,ears_dataset_processed/val/p101/freeform_speech_03_1440000_1600000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,0.2982016,-12.037072
23,ears_dataset_processed/val/p101/rainbow_02_regular_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-5.813078,-3.729409
24,ears_dataset_processed/val/p101/emo_cuteness_freeform_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,1.0424448,-17.779001
25,ears_dataset_processed/val/p101/freeform_speech_02_1440000_1600000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-14.482345,-3.1251862
26,ears_dataset_processed/val/p101/emo_extasy_sentences_0_119385.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-13.7443,-12.732193
27,ears_dataset_processed/val/p101/rainbow_03_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-7.612654,-7.8046064
28,ears_dataset_processed/val/p101/emo_confusion_freeform_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,0.5199028,-19.080933
29,ears_dataset_processed/val/p101/emo_disappointment_freeform_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-11.2778225,-3.5645216
30,ears_dataset_processed/val/p101/rainbow_01_slow_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,0.8480523,-8.606219
31,ears_dataset_processed/val/p101/emo_fear_sentences_0_132320.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-12.56121,-8.989561
32,ears_dataset_processed/val/p101/freeform_speech_06_640000_800000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-8.205746,-8.841841
33,ears_dataset_processed/val/p101/freeform_speech_04_1440000_1600000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-4.5606546,-14.96898
34,ears_dataset_processed/val/p101/freeform_speech_01_1600000_1760000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-6.368386,-23.417616
35,ears_dataset_processed/val/p101/sentences_15_regular_0_142603.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-5.4767065,-21.670671
36,ears_dataset_processed/val/p101/emo_anger_sentences_0_143849.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-12.212657,-4.973822
37,ears_dataset_processed/val/p101/emo_distress_sentences_0_117009.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-4.9800925,-8.590309
38,ears_dataset_processed/val/p101/freeform_speech_04_1280000_1440000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-1.9357035,-12.261634
39,ears_dataset_processed/val/p101/emo_pride_sentences_0_153022.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-3.1549904,-7.3125286
40,ears_dataset_processed/val/p101/sentences_23_regular_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-2.8785982,-17.41723
41,ears_dataset_processed/val/p101/sentences_01_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-0.9923849,-19.272095
42,ears_dataset_processed/val/p101/freeform_speech_03_800000_960000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,8.730748,-18.649632
43,ears_dataset_processed/val/p101/sentences_05_loud_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-2.650322,-5.43653
44,ears_dataset_processed/val/p101/sentences_01_whisper_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-7.6270127,-5.5035033
45,ears_dataset_processed/val/p101/emo_cuteness_sentences_0_111269.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,-16.684624,1.9844126
46,ears_dataset_processed/val/p101/rainbow_07_lowpitch_0_160000.wav,p101,val,male,46-55,black or african american,pdaf,neutral_mel128,1.130491,-9.818396
