task,source_prefix,audio_path,resolved_audio_path,resolution_method,prompt,gold_response,true_value,prediction,pred_value,is_exact_match,is_value_correct,status,error
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_04_2720000_2880000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_04_2720000_2880000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_04_2720000_2880000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_04_2720000_2880000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_02_2400000_2560000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_02_2400000_2560000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker's age is between 66 and 75 years old. ,66-75,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_02_640000_800000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_02_640000_800000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/sentences_13_lowpitch_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/sentences_13_lowpitch_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 26 and 35 years old. ,26-35,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/emo_extasy_sentences_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/emo_extasy_sentences_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_08_fast_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_08_fast_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 46 and 55 years old. ,46-55,0,0,ok,
gender,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_08_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_08_whisper_0_160000.wav,materialized_segment_created,What is the speaker's gender inferred from their speech characteristics?,"The speaker's gender is male, as indicated by the metadata.",male,The speaker's gender is inferred to be female based on their vocal characteristics. ,female,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_08_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_08_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/rainbow_08_whisper_0_160000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/rainbow_08_whisper_0_160000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
age,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_02_1760000_1920000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_02_1760000_1920000.wav,materialized_segment_cached,What is the speaker's age?,The speaker's age is between 56 and 65 years old.,56-65,The speaker is likely between 46 and 55 years old. ,46-55,0,0,ok,
ethnicity,ears_dataset_processed,ears_dataset_processed/val/p087/freeform_speech_02_1760000_1920000.wav,baseline_scripts/data/ears_full_sharded/chunk_10/resolved_audio/ears_dataset_processed/val/p087/freeform_speech_02_1760000_1920000.wav,materialized_segment_cached,What is the speaker's ethnicity inferred from their speech characteristics?,"Based on the speaker's vocal traits, it is inferred that the speaker is white or Caucasian.",white or caucasian,The speaker's ethnicity is inferred to be black or African American based on their vocal characteristics. ,black or african american,0,0,ok,
