task,audio_path,speaker_id,split,prompt,gold_response,prediction,gold_value,predicted_value,is_exact_match,is_value_correct,is_incorrect,ecapa_raw_pca_x,ecapa_raw_pca_y,gender,age,ethnicity,ecapa_raw_tsne_x,ecapa_raw_tsne_y,ecapa_mapper_pca_x,ecapa_mapper_pca_y,ecapa_mapper_tsne_x,ecapa_mapper_tsne_y,gold_value_resolved,is_value_correct_resolved,is_incorrect_resolved,embedding_family,hidden_layer,pooling,text_decoder,sid_prefix_length,prompt_token_length,device_used,x,y
gender,ears_dataset_processed/test/p005/emo_adoration_freeform_0_157835.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,3.2129643,0.95481676,male,18-25,asian,35.36092,42.962147,21.203194,-11.307712,42.520733,-47.09466,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,67.54775,-28.393929
gender,ears_dataset_processed/test/p005/emo_adoration_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,1.498021,3.1704624,male,18-25,asian,35.328243,44.355804,14.104339,-10.777303,34.05034,-54.343674,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,63.441505,-31.937908
gender,ears_dataset_processed/test/p005/emo_amazement_freeform_0_152203.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,3.0614707,-0.1884623,male,18-25,asian,31.763338,42.49608,21.993887,-16.297474,40.27989,-52.071316,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,65.17528,-28.520227
gender,ears_dataset_processed/test/p005/emo_amazement_sentences_0_125454.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,4.4647584,2.8142388,male,18-25,asian,31.758698,43.94012,22.618776,-12.164129,41.51492,-52.396866,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,65.02376,-28.04475
gender,ears_dataset_processed/test/p005/emo_amusement_freeform_0_148091.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,2.2832873,0.7698388,male,18-25,asian,29.017275,43.99203,9.858681,-3.8963132,28.008253,-55.708996,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,21.879944,8.959197
gender,ears_dataset_processed/test/p005/emo_amusement_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,2.7556899,1.2688679,male,18-25,asian,32.583027,44.597984,-6.9687757,-14.146509,-12.468056,-36.085518,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,61.19386,-32.445366
gender,ears_dataset_processed/test/p005/emo_anger_freeform_0_149163.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,1.7046368,-0.20556776,male,18-25,asian,33.700584,42.2373,11.792832,-4.271886,17.407663,2.0022478,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,14.913575,-35.25366
gender,ears_dataset_processed/test/p005/emo_anger_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,4.7747793,5.5352345,male,18-25,asian,39.204823,49.947124,23.772945,-1.9886438,44.489174,-49.152138,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,70.96258,-30.280844
gender,ears_dataset_processed/test/p005/emo_confusion_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,2.7008533,-0.7422389,male,18-25,asian,31.510881,42.745472,12.35526,-19.366503,31.21432,-50.561535,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,64.91884,-25.483927
gender,ears_dataset_processed/test/p005/emo_confusion_sentences_0_109650.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,4.2294145,4.121056,male,18-25,asian,37.145992,51.301502,37.239647,-5.6306043,63.506367,-22.879719,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,71.51439,-2.2069995
gender,ears_dataset_processed/test/p005/emo_contentment_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,2.127464,1.9169573,male,18-25,asian,29.1558,50.20647,8.252042,-15.161522,29.85901,-49.97775,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,62.515293,-24.311268
gender,ears_dataset_processed/test/p005/emo_contentment_sentences_0_148639.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,1.8668333,3.2746124,male,18-25,asian,32.806305,42.884373,22.882393,-8.742491,42.261753,-51.281704,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,64.70486,-28.825417
gender,ears_dataset_processed/test/p005/emo_cuteness_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,0.38438112,0.7461788,male,18-25,asian,34.033863,40.964073,16.104126,-4.343595,43.268517,-46.288067,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,59.991966,-36.27978
gender,ears_dataset_processed/test/p005/emo_cuteness_sentences_0_135073.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,0.16871767,-4.3275113,male,18-25,asian,-9.998246,-28.637371,-36.92073,-2.003062,-64.70112,-21.211075,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,-21.37385,-15.939924
gender,ears_dataset_processed/test/p005/emo_desire_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,1.265912,-0.06743163,male,18-25,asian,31.042608,42.190826,-15.595146,-0.59284455,-39.91075,-5.3251367,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,-3.8691752,-12.035612
gender,ears_dataset_processed/test/p005/emo_desire_sentences_0_153954.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,1.8625746,-0.8472279,male,18-25,asian,33.87729,42.16582,-18.78429,-0.94552195,-39.777664,-5.2200394,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,1.159576,8.858173
gender,ears_dataset_processed/test/p005/emo_disappointment_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,0.9509918,3.643091,male,18-25,asian,36.51703,42.75963,20.932253,-8.315599,42.537903,-52.61746,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,63.64262,-32.273003
gender,ears_dataset_processed/test/p005/emo_disappointment_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,1.805475,3.0887814,male,18-25,asian,33.05117,44.732563,-0.9273074,-9.6847925,27.001457,-54.04564,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,66.77465,-33.94285
gender,ears_dataset_processed/test/p005/emo_disgust_freeform_0_103966.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,1.9252895,0.9373403,male,18-25,asian,33.960976,43.138012,-2.8802464,-6.4722795,-8.192706,-19.190226,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,14.060731,-34.844044
gender,ears_dataset_processed/test/p005/emo_disgust_sentences_0_159739.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,1.5271621,1.2329481,male,18-25,asian,32.872925,44.183914,25.985804,-10.250796,42.13922,-51.06428,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,64.52506,-28.22148
gender,ears_dataset_processed/test/p005/emo_distress_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,1.2727301,-5.376006,male,18-25,asian,11.285929,-28.349756,-31.307255,-16.374031,-45.1857,-40.623947,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,1.5996305,-30.762236
gender,ears_dataset_processed/test/p005/emo_distress_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,2.5650325,0.805613,male,18-25,asian,35.986404,42.356808,14.148459,0.9520722,22.542227,6.7058144,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,19.280848,6.0983977
gender,ears_dataset_processed/test/p005/emo_embarassment_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,1.2307701,-1.3134371,male,18-25,asian,33.781372,39.548386,-14.639014,-5.701179,-36.379433,-21.443316,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,-13.39112,-25.711626
gender,ears_dataset_processed/test/p005/emo_embarassment_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,2.197651,2.9317198,male,18-25,asian,28.714355,47.78568,9.184537,-13.070977,29.836586,-49.943504,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,61.247074,-26.565601
gender,ears_dataset_processed/test/p005/emo_extasy_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,0.7248588,-3.7355235,male,18-25,asian,-10.129888,-29.082249,14.481634,-3.463074,18.702011,1.5139278,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,-0.40187597,-54.569546
gender,ears_dataset_processed/test/p005/emo_extasy_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,0.7365448,0.191912,male,18-25,asian,32.77769,42.60445,1.3256978,-1.3154744,29.322971,-59.13018,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,5.606114,-14.95242
gender,ears_dataset_processed/test/p005/emo_fear_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,0.68610036,-4.36036,male,18-25,asian,4.8139687,-25.796452,-17.637388,-8.032018,-36.43517,-25.910456,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,-6.659901,-32.845196
gender,ears_dataset_processed/test/p005/emo_fear_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be female based on their vocal characteristics. ,male,female,0,0,1,-3.4005415,1.9529089,male,18-25,asian,-38.882812,20.328972,12.292202,7.241707,3.1411161,52.971397,male,0,1,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,-51.904053,30.653347
gender,ears_dataset_processed/test/p005/emo_guilt_freeform_0_158992.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,3.7409525,0.69780654,male,18-25,asian,28.601725,44.0016,31.04111,-8.885503,47.041435,-48.64827,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,76.33688,-2.667342
