task,source_prefix,true_value,pred_value,prompt,prediction,audio_path
age,ears_dataset_processed,26-35,46-55,What is the speaker's age?,The speaker is between 46 and 55 years old. ,ears_dataset_processed/val/p003/emo_extasy_sentences_0_160000.wav
age,ears_dataset_processed,26-35,46-55,What is the speaker's age?,The speaker is between 46 and 55 years old. ,ears_dataset_processed/val/p003/sentences_02_loud_0_160000.wav
gender,ears_dataset_processed,female,male,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be male based on their vocal characteristics. ,ears_dataset_processed/val/p003/freeform_speech_03_1760000_1920000.wav
age,ears_dataset_processed,26-35,18-25,What is the speaker's age?,The speaker is between 18 and 25 years old. ,ears_dataset_processed/val/p003/freeform_speech_03_1760000_1920000.wav
age,ears_dataset_processed,26-35,46-55,What is the speaker's age?,The speaker is between 46 and 55 years old. ,ears_dataset_processed/val/p003/rainbow_07_regular_0_160000.wav
gender,ears_dataset_processed,female,male,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be male based on their vocal characteristics. ,ears_dataset_processed/val/p003/freeform_speech_04_2240000_2400000.wav
age,ears_dataset_processed,26-35,18-25,What is the speaker's age?,The speaker is between 18 and 25 years old. ,ears_dataset_processed/val/p003/freeform_speech_05_640000_800000.wav
age,ears_dataset_processed,26-35,56-65,What is the speaker's age?,The speaker is between 56 and 65 years old. ,ears_dataset_processed/val/p003/freeform_speech_04_1600000_1760000.wav
age,ears_dataset_processed,26-35,18-25,What is the speaker's age?,The speaker is between 18 and 25 years old. ,ears_dataset_processed/val/p003/freeform_speech_02_1920000_2080000.wav
age,ears_dataset_processed,26-35,18-25,What is the speaker's age?,The speaker is between 18 and 25 years old. ,ears_dataset_processed/val/p003/emo_extasy_freeform_0_160000.wav
age,ears_dataset_processed,26-35,46-55,What is the speaker's age?,The speaker is between 46 and 55 years old. ,ears_dataset_processed/val/p003/rainbow_02_loud_0_160000.wav
age,ears_dataset_processed,26-35,18-25,What is the speaker's age?,The speaker is between 18 and 25 years old. ,ears_dataset_processed/val/p003/freeform_speech_02_960000_1120000.wav
gender,ears_dataset_processed,female,male,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be male based on their vocal characteristics. ,ears_dataset_processed/val/p003/freeform_speech_04_1920000_2080000.wav
age,ears_dataset_processed,26-35,46-55,What is the speaker's age?,The speaker is between 46 and 55 years old. ,ears_dataset_processed/val/p003/freeform_speech_04_1920000_2080000.wav
gender,ears_dataset_processed,female,male,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is inferred to be male based on their vocal characteristics. ,ears_dataset_processed/val/p003/rainbow_03_whisper_0_160000.wav
age,ears_dataset_processed,26-35,36-45,What is the speaker's age?,The speaker is between 36 and 45 years old. ,ears_dataset_processed/val/p003/rainbow_03_whisper_0_160000.wav
age,ears_dataset_processed,26-35,46-55,What is the speaker's age?,The speaker is between 46 and 55 years old. ,ears_dataset_processed/val/p003/sentences_03_whisper_0_160000.wav
age,ears_dataset_processed,26-35,56-65,What is the speaker's age?,The speaker is between 56 and 65 years old. ,ears_dataset_processed/val/p003/interjection_anger_160000_320000.wav
age,ears_dataset_processed,26-35,46-55,What is the speaker's age?,The speaker is between 46 and 55 years old. ,ears_dataset_processed/val/p003/rainbow_07_loud_0_160000.wav
age,ears_dataset_processed,26-35,18-25,What is the speaker's age?,The speaker is between 18 and 25 years old. ,ears_dataset_processed/val/p003/emo_anger_freeform_0_160000.wav
