task,audio_path,speaker_id,split,prompt,gold_response,prediction,gold_value,predicted_value,is_exact_match,is_value_correct,is_incorrect,ecapa_raw_pca_x,ecapa_raw_pca_y,gender,age,ethnicity,ecapa_raw_tsne_x,ecapa_raw_tsne_y,ecapa_mapper_pca_x,ecapa_mapper_pca_y,ecapa_mapper_tsne_x,ecapa_mapper_tsne_y,gold_value_resolved,is_value_correct_resolved,is_incorrect_resolved,embedding_family,hidden_layer,pooling,text_decoder,sid_prefix_length,prompt_token_length,device_used,x,y
gender,ears_dataset_processed/test/p005/emo_adoration_freeform_0_157835.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,3.2129643,0.95481676,male,18-25,asian,35.36092,42.962147,21.203194,-11.307712,42.520733,-47.09466,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,27.345919,-2.328148
gender,ears_dataset_processed/test/p005/emo_adoration_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,1.498021,3.1704624,male,18-25,asian,35.328243,44.355804,14.104339,-10.777303,34.05034,-54.343674,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,15.746376,-1.181751
gender,ears_dataset_processed/test/p005/emo_amazement_freeform_0_152203.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,3.0614707,-0.1884623,male,18-25,asian,31.763338,42.49608,21.993887,-16.297474,40.27989,-52.071316,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,24.797821,-1.9360873
gender,ears_dataset_processed/test/p005/emo_amazement_sentences_0_125454.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,4.4647584,2.8142388,male,18-25,asian,31.758698,43.94012,22.618776,-12.164129,41.51492,-52.396866,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,22.27446,4.8558025
gender,ears_dataset_processed/test/p005/emo_amusement_freeform_0_148091.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,2.2832873,0.7698388,male,18-25,asian,29.017275,43.99203,9.858681,-3.8963132,28.008253,-55.708996,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,9.113768,2.6145976
gender,ears_dataset_processed/test/p005/emo_amusement_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,2.7556899,1.2688679,male,18-25,asian,32.583027,44.597984,-6.9687757,-14.146509,-12.468056,-36.085518,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,9.190571,-7.057565
gender,ears_dataset_processed/test/p005/emo_anger_freeform_0_149163.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,1.7046368,-0.20556776,male,18-25,asian,33.700584,42.2373,11.792832,-4.271886,17.407663,2.0022478,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,4.4387517,-5.104427
gender,ears_dataset_processed/test/p005/emo_anger_sentences_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal characteristics. ,male,male,0,1,0,4.7747793,5.5352345,male,18-25,asian,39.204823,49.947124,23.772945,-1.9886438,44.489174,-49.152138,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,14.584713,6.2284865
gender,ears_dataset_processed/test/p005/emo_confusion_freeform_0_160000.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,2.7008533,-0.7422389,male,18-25,asian,31.510881,42.745472,12.35526,-19.366503,31.21432,-50.561535,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,26.437212,-4.063404
gender,ears_dataset_processed/test/p005/emo_confusion_sentences_0_109650.wav,p005,test,What is the speaker's gender inferred from their speech characteristics?,The speaker's gender is male.,The speaker's gender is inferred to be male based on their vocal traits. ,male,male,0,1,0,4.2294145,4.121056,male,18-25,asian,37.145992,51.301502,37.239647,-5.6306043,63.506367,-22.879719,male,1,0,gpt2_in_lm_hidden,final,last_input,gpt2,40,10,cuda:0,28.424564,8.298575
